Наименование / ФИО,Тип субъекта,Категория,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Нематериальные активы 2024,Нематериальные активы 2023,Основные средства 2024,Основные средства 2023,Доходные вложения 2024,Доходные вложения 2023,Доход 2024,Доход 2023,Амортизация НМА(приблизительно),Амортизация вся(приблизительно),ebita,ebitda
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРВАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,9102203020,41.20 Строительство жилых и нежилых зданий,91 - Республика Крым,,г Симферополь,,525,0,1089,1342,0,0,139032,448033,525,272,139557,139304
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРВЫЙ МОНОЛИТ""",Юридическое лицо,Малое предприятие,7811183069,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,2240,2315,325606,322478,398107,379004,-344,370724,0,22156,-419,21812
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРВЫЙ СТРОИТЕЛЬНЫЙ ТРЕСТ""",Юридическое лицо,Малое предприятие,7714388920,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,4263,1037,0,0,4358,99764,0,3226,4358,7584
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА РУССКАЯ""",Юридическое лицо,Среднее предприятие,2612018167,41.20 Строительство жилых и нежилых зданий,26 - Ставропольский край,Курский р-н,,с Русское,0,0,154919,174333,0,0,-81202,401383,0,0,-81202,-100616
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА № 6""",Юридическое лицо,Малое предприятие,4236000440,41.20 Строительство жилых и нежилых зданий,42 - Кемеровская область,,г Ленинск-Кузнецкий,,0,0,4064,2628,0,0,2087,41952,0,1436,2087,3523
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №159""",Юридическое лицо,Малое предприятие,1635004257,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),Сабинский р-н,,пгт Богатые Сабы,31007,6057,70632,54373,102505,63539,-1338,303736,24950,80175,23612,78837
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА-54""",Юридическое лицо,Малое предприятие,277055070,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,,г Уфа,,0,0,1603,839,0,0,14533,708419,0,764,14533,15297
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА""",Юридическое лицо,Малое предприятие,6501221844,41.20 Строительство жилых и нежилых зданий,65 - Сахалинская область,,г Южно-Сахалинск,,0,0,3339,4052,0,0,-45239,476398,0,0,-45239,-45952
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРЕДВИЖНАЯ МОНТАЖНАЯ КОЛОННА №1""",Юридическое лицо,Среднее предприятие,6162059009,41.20 Строительство жилых и нежилых зданий,61 - Ростовская область,,г Ростов-на-Дону,,0,0,2375,4394,0,0,167,545059,0,0,167,-1852
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРЕДОВЫЕ СТРОИТЕЛЬНЫЕ ТЕХНОЛОГИИ""",Юридическое лицо,Малое предприятие,225004830,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,Илишевский р-н,,с Верхнеяркеево,0,0,148986,121367,0,0,4428,147798,0,27619,4428,32047
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРЕСВЕТСПЕЦСТРОЙ""",Юридическое лицо,Малое предприятие,3257069730,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,5073,5614,6396,9460,99048,70034,-123,85510,0,25409,-664,25286
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРЕСТРОЙ-КА!""",Юридическое лицо,Среднее предприятие,7203168121,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,,г Тюмень,,0,0,230394,203858,145,201,42601,783834,0,26480,42601,69081
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРСПЕКТИВА ПЛЮС""",Юридическое лицо,Малое предприятие,1821014044,41.20 Строительство жилых и нежилых зданий,18 - Удмуртская Республика,Увинский р-н,,п Ува,0,0,9582,3196,0,0,10290,68454,0,6386,10290,16676
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРСПЕКТИВА""",Юридическое лицо,Малое предприятие,517010044,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,Кизлярский р-н,,с Александрийская,0,0,56,56,0,0,166,3054,0,0,166,166
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРСПЕКТИВА""",Юридическое лицо,Малое предприятие,7814296705,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,0,0,0,0,0,1491,137863,0,0,1491,1491
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРСПЕКТИВА""",Юридическое лицо,Малое предприятие,7728883629,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,96,53020,0,0,-72935,1007529,0,0,-72935,-125859
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРСПЕКТИВА""",Юридическое лицо,Малое предприятие,6381020188,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,Сергиевский р-н,,п Сургут,61369,61647,84213,56105,155631,157771,-5386,267208,0,25690,-5664,20304
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРСПЕКТИВА""",Юридическое лицо,Малое предприятие,5030088481,41.20 Строительство жилых и нежилых зданий,50 - Московская область,Наро-Фоминск г,,,0,1110,8724,73066,9105,77247,-2536,214683,0,0,-3646,-136130
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРСПЕКТИВА""",Юридическое лицо,Малое предприятие,9103075830,41.20 Строительство жилых и нежилых зданий,91 - Республика Крым,,г Ялта,,2774,3134,61417,58062,0,0,60274,659023,0,2995,59914,63269
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРСПЕКТИВА""",Юридическое лицо,Малое предприятие,3525430601,41.20 Строительство жилых и нежилых зданий,20 - Чеченская Республика,,г Грозный,,0,0,27485,31311,0,0,9273,494798,0,0,9273,5447
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТЕРБУРГСКАЯ ГЕНПОДРЯДНАЯ СТРОИТЕЛЬНАЯ ГРУППА""",Юридическое лицо,Малое предприятие,7838460778,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,0,177028,249733,0,0,-1470,304343,0,0,-1470,-74175
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТЕРБУРГСКАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ ""СЕВЕРО-ЗАПАД""",Юридическое лицо,Малое предприятие,7805650702,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,4814,3112,151471,222498,242753,303743,-3507,300067,1702,0,-1805,-133822
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТЕРБУРГСКАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Юридическое лицо,Среднее предприятие,7810741105,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,0,414,441,0,0,107027,2081627,0,0,107027,107000
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТРОВСКИЙ МОНОЛИТ""",Юридическое лицо,Малое предприятие,7810451660,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,г Пушкин,,0,0,128121,73564,0,0,-45892,1311248,0,54557,-45892,8665
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТРОГАЗСТРОЙ""",Юридическое лицо,Малое предприятие,7813439894,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,640,960,244508,110386,0,0,382143,1394063,0,133802,381823,515945
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТРОКЛИН""",Юридическое лицо,Малое предприятие,7801223097,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,0,0,171,0,0,-161,35105,0,0,-161,-332
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТРОПРОМАЛЬЯНС""",Юридическое лицо,Малое предприятие,7841391556,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,33807,35358,80598,95602,115229,131853,-11511,324239,0,0,-13062,-44690
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТРОСТРОЙ КСМ""",Юридическое лицо,Малое предприятие,1001335932,41.20 Строительство жилых и нежилых зданий,10 - Республика Карелия,,г Петрозаводск,,0,0,137,268,0,0,1155,184691,0,0,1155,1024
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТРОСТРОЙ""",Юридическое лицо,Малое предприятие,3410103510,41.20 Строительство жилых и нежилых зданий,34 - Волгоградская область,Камышинский р-н,г Петров Вал,,43,85,7702,7313,9459,8757,-502,26576,0,1049,-544,547
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТРОСТРОЙСВЯЗЬ""",Юридическое лицо,Малое предприятие,7811197985,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,0,2306,2563,0,0,-266,206802,0,0,-266,-523
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИГМАЛИОН""",Юридическое лицо,Малое предприятие,2308111042,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,0,0,17,43603,131,85472,-126,249469,0,0,-126,-129053
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК""",Юридическое лицо,Малое предприятие,6439089052,41.20 Строительство жилых и нежилых зданий,64 - Саратовская область,,г Балаково,,59954,40484,21330,2323,101368,57779,-1065,258290,19470,82066,18405,81001
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИКСАР""",Юридическое лицо,Малое предприятие,7733627162,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,4,109,1439,3598,0,0,6046,78799,0,0,5941,3782
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИКСТРОЙ АДВАНС""",Юридическое лицо,Малое предприятие,9705143660,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,3333,3350,0,0,8032,242385,0,0,8032,8015
